time_period,location,rainfall_era5_lag1,rainfall_era5_lag2,rainfall_era5_lag3,rainfall_era5_lag4,rainfall_era5_lag5,rainfall_era5_lag6,mean_temperature_lag1,mean_temperature_lag2,relative_humidity_lag1,relative_humidity_lag2,relative_humidity_lag3,relative_humidity_lag4,loc_BzhJzdAGARk,loc_CSiOPKW1OQP,loc_EritxSJ4SVG,loc_Fczy0xwaJSy,loc_Gu5PQzqP3oc,irs_level,irs_decay,irs_since,irs_cumulative,tgt_lag1,tgt_lag2,tgt_lag3,_resid,in_mask
2019-08,BzhJzdAGARk,220.04386972089446,246.75037721428484,219.0955425262843,135.93961124525862,133.2982640806737,90.13424860610357,16.13390490773983,15.999194899268398,79.59785495870635,82.54350506162687,81.34517903851012,72.98295611509994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,7.015706802621557,6.781435519285391,6.510053848719348,-0.5273975339588928,True
2019-08,CSiOPKW1OQP,94.2155231946127,121.28574982414925,104.91641875609855,43.24433920949086,41.05185185062514,52.016410312255545,19.930495547408526,20.20745365752078,76.63530189546192,76.37180254929947,74.65160506881193,66.77621042465375,0.0,1.0,0.0,0.0,0.0,0.0,0.14865088937534005,11.0,10.642900000000001,2.118381714708285,2.651234145624968,3.2606978269916262,1.6901283174604869,True
2019-08,EritxSJ4SVG,89.48841388848554,114.65873649517005,95.4489496759815,43.17925107122343,60.54925128177222,62.21339977125189,21.686340817947325,21.521805529962688,74.97224303290284,75.7738900845115,74.56910987184494,67.08738300202481,0.0,0.0,1.0,0.0,0.0,0.0,0.5946035575013604,3.0,1.0,7.421623012059379,7.604680713053208,7.85085909337723,-0.5660302908783494,True
2019-08,Fczy0xwaJSy,411.85501203786725,494.50317932102075,362.8481509868053,292.6105564249868,177.70777749142604,235.88663837776653,13.439224144307339,13.570770622540378,84.85834567396437,87.51191273783041,83.634395813889,79.27229785602523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.8658407893338773,2.711491346836214,2.637130093438537,0.0844550779674722,True
2019-08,Gu5PQzqP3oc,255.06369976370485,272.35300811919814,196.46481421840934,182.73868547206436,106.09110518239736,225.87296674302002,18.496987496049634,18.27183240885693,78.00574975305157,81.15843706993076,79.21568205855192,72.41386743754644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,8.35228764557959,7.884375381977146,7.767454957089802,-0.6145377070410589,True
2019-09,BzhJzdAGARk,182.03739458990162,220.04386972089446,246.75037721428484,219.0955425262843,135.93961124525862,133.2982640806737,16.118841368723157,16.13390490773983,75.19344052651812,79.59785495870635,82.54350506162687,81.34517903851012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.488309268662665,7.015706802621557,6.781435519285391,-0.07932785295685463,True
2019-09,CSiOPKW1OQP,79.89250209153442,94.2155231946127,121.28574982414925,104.91641875609855,43.24433920949086,41.05185185062514,20.079224453569235,19.930495547408526,71.60066689371683,76.63530189546192,76.37180254929947,74.65160506881193,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.642900000000001,3.8085100321687717,2.118381714708285,2.651234145624968,-0.20746370367775402,True
2019-09,EritxSJ4SVG,76.70113702049143,89.48841388848554,114.65873649517005,95.4489496759815,43.17925107122343,60.54925128177222,21.822498441704845,21.686340817947325,69.19616395739162,74.97224303290284,75.7738900845115,74.56910987184494,0.0,0.0,1.0,0.0,0.0,0.0,0.4999999999999999,4.0,1.0,6.961276418703037,7.421623012059379,7.604680713053208,-0.18923991329640089,True
2019-09,Fczy0xwaJSy,313.90182161988673,411.85501203786725,494.50317932102075,362.8481509868053,292.6105564249868,177.70777749142604,13.354161544203743,13.439224144307339,81.27524867432815,84.85834567396437,87.51191273783041,83.634395813889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,2.856179731299713,2.8658407893338773,2.711491346836214,0.15824678331395603,True
2019-09,Gu5PQzqP3oc,222.0044704243686,255.06369976370485,272.35300811919814,196.46481421840934,182.73868547206436,106.09110518239736,18.458443300604777,18.496987496049634,75.0788185856872,78.00574975305157,81.15843706993076,79.21568205855192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,7.810391011257503,8.35228764557959,7.884375381977146,-0.047642916124920554,True
2019-10,BzhJzdAGARk,180.04586779603784,182.03739458990162,220.04386972089446,246.75037721428484,219.0955425262843,135.93961124525862,16.142938843700207,16.118841368723157,76.23575862431797,75.19344052651812,79.59785495870635,82.54350506162687,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.40898141570581,6.488309268662665,7.015706802621557,-0.30508266163714026,True
